variant,seed,dataset,data_loading_option,model_type,num_clients,beta,hop,use_pe,fulltraining_flag,repetition,fl_round,avg_client_val_acc,avg_client_val_loss,best_eval_acc_so_far,best_eval_loss_so_far,patience,round_time_s,global_test_acc
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,15,0.5727331513710715,1.4131282091140747,0.5727331513710715,1.4385441541671753,0,0.886,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,16,0.5788488633563487,1.3906760931015014,0.5788488633563487,1.4385441541671753,0,0.871,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,17,0.5815053125090681,1.3669739723205567,0.5815053125090681,1.4385441541671753,0,0.878,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,18,0.5815053125090681,1.3488096714019775,0.5815053125090681,1.3488096714019775,0,0.872,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,19,0.5841025059758269,1.3297171354293824,0.5841025059758269,1.3488096714019775,0,0.868,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,20,0.5882210045282876,1.3110830068588257,0.5882210045282876,1.3488096714019775,0,0.872,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,21,0.6017745124500153,1.294334638118744,0.6017745124500153,1.3488096714019775,0,0.867,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,22,0.6012672660732038,1.2818122863769532,0.6017745124500153,1.2818122863769532,0,0.863,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,23,0.6017745124500153,1.2678435802459718,0.6017745124500153,1.2678435802459718,0,0.866,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,24,0.6089766740810643,1.2538986325263977,0.6089766740810643,1.2678435802459718,0,0.873,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,25,0.6067745124500153,1.244584584236145,0.6089766740810643,1.244584584236145,0,0.87,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,26,0.6067745124500153,1.2337638139724731,0.6089766740810643,1.2337638139724731,0,0.878,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,27,0.6072535102392563,1.2250461101531982,0.6089766740810643,1.2250461101531982,0,0.864,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,28,0.6110940899494012,1.2156723499298097,0.6110940899494012,1.2250461101531982,0,0.877,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,29,0.613920176905923,1.2061053156852721,0.613920176905923,1.2250461101531982,0,0.871,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,30,0.6141582721440182,1.1993932008743287,0.6141582721440182,1.2250461101531982,0,0.87,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,31,0.6184155185208298,1.1930346608161926,0.6184155185208298,1.2250461101531982,0,0.863,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,32,0.6207410999161787,1.1871868014335631,0.6207410999161787,1.2250461101531982,0,0.877,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,33,0.6248018054124871,1.1816702365875245,0.6248018054124871,1.2250461101531982,0,0.869,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,34,0.6248018054124871,1.1761110305786133,0.6248018054124871,1.1761110305786133,0,0.872,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,35,0.6226278923690088,1.170845139026642,0.6248018054124871,1.170845139026642,0,0.889,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,36,0.6222112257023421,1.167798137664795,0.6248018054124871,1.167798137664795,0,0.871,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,37,0.6238778923690089,1.1628926038742065,0.6248018054124871,1.1628926038742065,0,0.866,
baseline,1,Cora,zero_hop,GCN,10,1,1,False,False,1,38,0.6238778923690089,1.1596482157707215,0.6248018054124871,1.1596482157707215,0,0.873,
